True Input,True Output,My Decoded Output,Matching or Not
vithananni,విత్తనాన్ని,వితనన్ని,No
prayaanikulu,ప్రయాణికులు,ప్రయాణికులు,Yes
hassan,హసన్,హస్సన్,No
pakshala,పక్షాల,పక్షల,No
goutham,గౌతమ్,గౌతం,No
puraanamulanu,పురాణములను,పురాణములను,Yes
union,యూనియన్,యనినన్,No
medassu,మేధస్సు,మేదస్సు,No
kuantum,క్వాంటమ్,క్యుంటమ్,No
aakaashaannayinaa,ఆకాశాన్నయినా,ఆకాశాన్నయినా,Yes
naats,నాట్స్,నాట్స్,Yes
jaavaed,జావేద్,జావాడ్,No
powell,పావెల్,పోవెల్,No
deshamunaku,దేశమునకు,దేశమునకు,Yes
dublin,డుబ్లిన్,డబ్లిన్,No
cholera,కలరా,చోలేరా,No
vatakara,వడగర,వాతకర,No
silva,సిల్వా,శిల్వా,No
patter,పాటర్,పాట్టర్,No
praatipadikapai,ప్రాతిపదికపై,ప్రాతిపడికపై,No
vishveshvarudini,విశ్వేశ్వరుడిని,విశ్వేశ్వరుడిని,Yes
astraalanu,అస్త్రాలను,అస్త్రాలను,Yes
bhagamgaanay,భాగంగానే,భగగంగాయన,No
lingamunu,లింగమును,లింగమును,Yes
linde,లిండే,లిండె,No
saavadhaanangaa,సావధానంగా,సావధానంగా,Yes
entaravutunnaaro,ఎంటరవుతున్నారో,ఎంతరవుతున్నారో,No
under,అండర్,యండర్,No
gurtinchukovatam,గుర్తించుకోవటం,గుర్తించుకోవటం,Yes
pomdaali,పొందాలి,పొందాలి,Yes
vinoba,వినోబా,వినోబా,Yes
kukreja,కుక్రేజా,కుక్రేజా,Yes
jonesboro,జోన్స్బొరో,జోనేస్బోరో,No
chadhuvuthunnaaru,చదువుతున్నారు,చదువుతున్నారు,Yes
adyakshathana,అధ్యక్షతన,అద్యక్షతన,No
ankela,అంకెల,అంకెలా,No
parishkarinchukonnaaru,పరిష్కరించుకొన్నార,పరిష్కరించుకొన్నారు,No
oneday,వన్డే,ఒనేదాయ్,No
sabhyuni,సభ్యుని,సభ్యుని,Yes
nirdhaarinchadam,నిర్ధారించడం,నిర్ధారించడం,Yes
kisaan,కిసాన్,కిసాన్,Yes
vivaranalo,వివరణలో,వివరణలో,Yes
statistics,స్టాటిస్టిక్స్,స్టాటిస్టిక్స్,Yes
ksheytraaniki,క్షేత్రానికి,క్షేత్య్రానికి,No
ananthapuramlo,అనంతపురంలో,అనంతపురంలో,Yes
bowie,బోవీ,బోవి,No
das,దాస్,దాస్,Yes
guests,గెస్ట్స్,గెలెస్ట్,No
ayina,ఆయిన,అయిన,No
bhojanaala,భోజనాల,భోజనాల,Yes
pandaka,పండక,పండక,Yes
aamodhinchina,ఆమోదించిన,ఆమోధించిన,No
lakshmiprasanna,లక్ష్మిప్రసన్న,లక్ష్మిప్రాసన్న,No
konaallo,కోణాల్లో,కొనాల్లో,No
neenantee,నేనంటే,నీనంతే,No
nuthilo,నూతిలో,నుతిలో,No
charchinchindhi,చర్చించింది,చర్చించింది,Yes
rakshinchharu,రక్షించారు,రక్షించారు,Yes
punaruddharinchi,పునరుద్ధరించి,పునరుద్ధరించి,Yes
atman,ఆత్మ,ఏట్మాన్,No
aunu,ఔను,ఆసును,No
kunna,కున్న,కున్నా,No
cheyalekapotunnaadu,చేయలేకపోతున్నాడు,చేయలేకపోతున్నాడు,Yes
nanwani,నన్వని,నన్వానీ,No
tegullu,తెగుళ్లు,తెగుళ్లు,Yes
gynecologist,గైనకాలజిస్ట్,గైనెకాలజిస్ట్,No
pasupuleti,పసుపులేటి,పసుపులేటి,Yes
madona,మడోన్నా,మాడోనా,No
nishedhimchaledannaaru,నిషేధించలేదన్నారు,నిషేధించలేదన్నారు,Yes
meere,మీరె,మీరే,No
edigindi,ఎదిగింది,ఎదిగింది,Yes
saanghikamga,సాంఘికంగా,సాంఘికంగా,Yes
dekalb,డేకల్బ్,డికల్బ్,No
ispat,ఐస్పాట్,ఇస్పాట్,No
krushnarjunulu,కృష్ణార్జునులు,కృష్ణార్జునులు,Yes
bhaagaalaina,భాగాలైన,భాగాలైన,Yes
therakekkuthondi,తెరకెక్కుతోంది,తెరకెక్కుతోంది,Yes
kachchaerii,కచ్చేరీ,క్చేరీ,No
