True Input,True Output,My Decoded Output,Matching or Not
vithananni,విత్తనాన్ని,వితనాన్ని,No
prayaanikulu,ప్రయాణికులు,ప్రయాణికులు,Yes
hassan,హసన్,హాసన్,No
pakshala,పక్షాల,పక్షాలా,No
goutham,గౌతమ్,గౌతం,No
puraanamulanu,పురాణములను,పురాణములను,Yes
union,యూనియన్,యినోన్,No
medassu,మేధస్సు,మెదస్సు,No
kuantum,క్వాంటమ్,కుంటంం,No
aakaashaannayinaa,ఆకాశాన్నయినా,ఆకాశాన్నాయినా,No
naats,నాట్స్,నాట్స్,Yes
jaavaed,జావేద్,జాలేద్,No
powell,పావెల్,పోవెల్,No
deshamunaku,దేశమునకు,దేశమునకు,Yes
dublin,డుబ్లిన్,డబ్లిన్,No
cholera,కలరా,చోలెరా,No
vatakara,వడగర,వాతాకా,No
silva,సిల్వా,సిల్వా,Yes
patter,పాటర్,పట్టర్,No
praatipadikapai,ప్రాతిపదికపై,ప్రాతిపదికపై,Yes
vishveshvarudini,విశ్వేశ్వరుడిని,విశ్వేశ్వరుడిని,Yes
astraalanu,అస్త్రాలను,ఆస్త్రాలను,No
bhagamgaanay,భాగంగానే,భాగంగానీ,No
lingamunu,లింగమును,లింగమును,Yes
linde,లిండే,లిండే,Yes
saavadhaanangaa,సావధానంగా,సావధానంగా,Yes
entaravutunnaaro,ఎంటరవుతున్నారో,ఎంతరవుతున్నారో,No
under,అండర్,అందెర్,No
gurtinchukovatam,గుర్తించుకోవటం,గుర్తించుకోవటం,Yes
pomdaali,పొందాలి,పొందాలి,Yes
vinoba,వినోబా,వినోబా,Yes
kukreja,కుక్రేజా,కుక్రేజ,No
jonesboro,జోన్స్బొరో,జోనెబ్్ోరో,No
chadhuvuthunnaaru,చదువుతున్నారు,చదువుతున్నారు,Yes
adyakshathana,అధ్యక్షతన,అద్యక్తతన,No
ankela,అంకెల,అంకేల,No
parishkarinchukonnaaru,పరిష్కరించుకొన్నార,పరిష్కరించుకొన్నారు,No
oneday,వన్డే,ఒనేదాయ్,No
sabhyuni,సభ్యుని,సభ్యుని,Yes
nirdhaarinchadam,నిర్ధారించడం,నిర్ధారించడం,Yes
kisaan,కిసాన్,కిశాన్,No
vivaranalo,వివరణలో,వివరణలో,Yes
statistics,స్టాటిస్టిక్స్,స్టాటిక్స్స్,No
ksheytraaniki,క్షేత్రానికి,క్షేత్రానికి,Yes
ananthapuramlo,అనంతపురంలో,అనంతపురంలో,Yes
bowie,బోవీ,బోవి,No
das,దాస్,డాస్,No
guests,గెస్ట్స్,గ్యూస్ట్స్,No
ayina,ఆయిన,అయినా,No
bhojanaala,భోజనాల,భోజనాల,Yes
pandaka,పండక,పండక,Yes
aamodhinchina,ఆమోదించిన,ఆమోధించిన,No
lakshmiprasanna,లక్ష్మిప్రసన్న,లక్ష్మీప్రస్్న,No
konaallo,కోణాల్లో,కొనాల్లో,No
neenantee,నేనంటే,నీనంటే,No
nuthilo,నూతిలో,నుటిలో,No
charchinchindhi,చర్చించింది,చర్చించింది,Yes
rakshinchharu,రక్షించారు,రక్షించారు,Yes
punaruddharinchi,పునరుద్ధరించి,పునరుద్రరించి,No
atman,ఆత్మ,అట్మన్,No
aunu,ఔను,ఆయు,No
kunna,కున్న,కున్నా,No
cheyalekapotunnaadu,చేయలేకపోతున్నాడు,చేయలేకపోతున్నాడు,Yes
nanwani,నన్వని,నాన్వానీ,No
tegullu,తెగుళ్లు,తెగుళ్ళు,No
gynecologist,గైనకాలజిస్ట్,జినెకాలజిజిస్ట్,No
pasupuleti,పసుపులేటి,పలుపులేతి,No
madona,మడోన్నా,మాడోనా,No
nishedhimchaledannaaru,నిషేధించలేదన్నారు,నిషేయించలేదన్నారు,No
meere,మీరె,మీరే,No
edigindi,ఎదిగింది,ఎడిగింది,No
saanghikamga,సాంఘికంగా,సాంగికంగా,No
dekalb,డేకల్బ్,డీబాల్బ్,No
ispat,ఐస్పాట్,ఇస్పాట్,No
krushnarjunulu,కృష్ణార్జునులు,కృష్ణార్జునులు,Yes
bhaagaalaina,భాగాలైన,భాగాలైన,Yes
therakekkuthondi,తెరకెక్కుతోంది,తెరకెక్కుతోంది,Yes
kachchaerii,కచ్చేరీ,కచ్చేరీ,Yes
