Input Word,True Output,My Decoded Output,Matching or Not
vithananni,విత్తనాన్ని,విథనననననని,No
prayaanikulu,ప్రయాణికులు,ప్రయాణికులు,Yes
hassan,హసన్,హస్సాన్,No
pakshala,పక్షాల,పక్షల,No
goutham,గౌతమ్,గౌతం,No
puraanamulanu,పురాణములను,పురాణములను,Yes
union,యూనియన్,యూనియన్,Yes
medassu,మేధస్సు,మెడస్సు,No
kuantum,క్వాంటమ్,కుంంతుం,No
aakaashaannayinaa,ఆకాశాన్నయినా,ఆకాషాన్నయినా,No
naats,నాట్స్,నాట్స్,Yes
jaavaed,జావేద్,జావెడ్,No
powell,పావెల్,పౌవెల్,No
deshamunaku,దేశమునకు,దేశమునకు,Yes
dublin,డుబ్లిన్,డబ్లిన్,No
cholera,కలరా,చోలేరా,No
vatakara,వడగర,వాకకర,No
silva,సిల్వా,సిల్వా,Yes
patter,పాటర్,పాట్టర్,No
praatipadikapai,ప్రాతిపదికపై,ప్రాతిపదికపై,Yes
vishveshvarudini,విశ్వేశ్వరుడిని,విశ్వేశ్వరుడిని,Yes
astraalanu,అస్త్రాలను,అస్త్రాలను,Yes
bhagamgaanay,భాగంగానే,భాగంగానయ్,No
lingamunu,లింగమును,లింగమును,Yes
linde,లిండే,లిండే,Yes
saavadhaanangaa,సావధానంగా,సావధానంగా,Yes
entaravutunnaaro,ఎంటరవుతున్నారో,ఎంటరవుతున్నారో,Yes
under,అండర్,అండర్,Yes
gurtinchukovatam,గుర్తించుకోవటం,గుర్తించుకోవటం,Yes
pomdaali,పొందాలి,పొందాలి,Yes
vinoba,వినోబా,వినోబా,Yes
kukreja,కుక్రేజా,కుక్రేజ,No
jonesboro,జోన్స్బొరో,జోన్సెబోరో,No
chadhuvuthunnaaru,చదువుతున్నారు,చదువుతున్నారు,Yes
adyakshathana,అధ్యక్షతన,అద్యక్షతన,No
ankela,అంకెల,అంకేలా,No
parishkarinchukonnaaru,పరిష్కరించుకొన్నార,పరిష్కరించుకొన్నారు,No
oneday,వన్డే,ఓనేదయ్,No
sabhyuni,సభ్యుని,సభ్యుని,Yes
nirdhaarinchadam,నిర్ధారించడం,నిర్ధారించడం,Yes
kisaan,కిసాన్,కిసాన్,Yes
vivaranalo,వివరణలో,వివరణలో,Yes
statistics,స్టాటిస్టిక్స్,స్టాటిస్టిక్స్,Yes
ksheytraaniki,క్షేత్రానికి,క్షేత్ర్యానికి,No
ananthapuramlo,అనంతపురంలో,అనంతపురంలో,Yes
bowie,బోవీ,బౌవీ,No
das,దాస్,డాస్,No
guests,గెస్ట్స్,గుస్ట్స్,No
ayina,ఆయిన,అయిన,No
bhojanaala,భోజనాల,భోజనాల,Yes
pandaka,పండక,పండక,Yes
aamodhinchina,ఆమోదించిన,ఆమోదించిన,Yes
lakshmiprasanna,లక్ష్మిప్రసన్న,లక్ష్మీప్రసాన్న,No
konaallo,కోణాల్లో,కొనాళ్లో,No
neenantee,నేనంటే,నీనంతే,No
nuthilo,నూతిలో,నుతితో,No
charchinchindhi,చర్చించింది,చర్చించింది,Yes
rakshinchharu,రక్షించారు,రక్షించారు,Yes
punaruddharinchi,పునరుద్ధరించి,పునరుద్ధరించి,Yes
atman,ఆత్మ,ఆట్మాన్,No
aunu,ఔను,ఔను,Yes
kunna,కున్న,కున్నా,No
cheyalekapotunnaadu,చేయలేకపోతున్నాడు,చేయలేకపోతున్నాడు,Yes
nanwani,నన్వని,నాన్వాని,No
tegullu,తెగుళ్లు,తెగుల్లు,No
gynecologist,గైనకాలజిస్ట్,గైనకకాాజిస్ట్,No
pasupuleti,పసుపులేటి,పసుపులేటి,Yes
madona,మడోన్నా,మదోన,No
nishedhimchaledannaaru,నిషేధించలేదన్నారు,నిషేధించలేదన్నారు,Yes
meere,మీరె,మీరే,No
edigindi,ఎదిగింది,ఎదిగింది,Yes
saanghikamga,సాంఘికంగా,సాంఘికంగా,Yes
dekalb,డేకల్బ్,డెకాల్,No
ispat,ఐస్పాట్,ఇస్పాట్,No
krushnarjunulu,కృష్ణార్జునులు,కృష్ణార్జులు,No
bhaagaalaina,భాగాలైన,భాగాలైన,Yes
therakekkuthondi,తెరకెక్కుతోంది,తెరకెక్కుతోంది,Yes
kachchaerii,కచ్చేరీ,కచ్చేరీ,Yes
novosellic,నోవోసెల్లిక్,నోవోస్లిక్క్,No
sira,సిరా,సిరా,Yes
santaanotpattiki,సంతానోత్పత్తికి,సంతానోత్పప్తికి,No
charithrakarula,చరిత్రకారులు,చరిత్రకరుల,No
staem,స్టెమ్,స్టేమ్,No
grahaaniki,గ్రహానికి,గ్రహానికి,Yes
prakatinchukontunnaaru,ప్రకటించుకొంటున్నా,ప్రకటించుకొంటున్నారు,No
hines,హైన్స్,హైన్స్,Yes
gajaendhra,గజేంద్ర,గజేంద్ర,Yes
buchanan,బుచానన్,బూచననాన్,No
kottataadu,కొట్టతాడు,కొట్టతాడు,Yes
niraasaku,నిరాసకు,నిరాశకు,No
iddarni,ఇద్దర్ని,ఇద్దర్ని,Yes
maarchestaaranukunna,మార్చేస్తారనుకున్న,మార్చేస్తారనుకున్న,Yes
savaallu,సవాళ్లు,సవాళ్లు,Yes
pattina,పట్టిన,పట్టిన,Yes
bender,బెండర్,బెండర్,Yes
barai,బారై,బరాయి,No
prayojanakarangaa,ప్రయోజనకరంగా,ప్రయోజనకరంగా,Yes
undhannadi,ఉందన్నది,ఉంధన్నది,No
rivas,రివాస్,రివాస్,Yes
pramaanha,ప్రమాణ,ప్రమాణ,Yes
maarutunnaananii,మారుతున్నాననీ,మారుతున్నాననీ,Yes
ekkuvagaane,ఎక్కువగానే,ఎక్కువగానే,Yes
praveshapettabadindho,ప్రవేశపెట్టబడిందో,ప్రవేశపెట్టబిండంో,No
bulandshahr,బులంద్షహర్,బులంంచ్షర్,No
arhuraalani,అర్హురాలని,అర్హురాలని,Yes
castaneda,కాస్టనెడ,కాస్టనేడా,No
nruthyaaniki,నృత్యానికి,నృత్యానికి,Yes
dohadapade,దోహదపడే,దోహదపడే,Yes
dispur,దిస్పుర్,డిస్పర్,No
ounu,ఔను,ఊను,No
vikki,విక్కీ,విక్కి,No
buttinchu,బుట్టించు,బుట్టించు,Yes
choosukovaalani,చూసుకోవాలని,చూసుకోవాలని,Yes
sikimdar,సికిందర్,సికిందర్,Yes
avataar,అవతార్,అవతార్,Yes
chotuchaesukuntaayi,చోటుచేసుకుంటాయి,చోటుచేసుకుంటాయి,Yes
cosamani,కోసమని,కోసామని,No
teesukuntaamani,తీసుకుంటామని,తీసుకుంటామని,Yes
angeekarinchi,అంగీకరించి,అంగీకరించి,Yes
castalloy,కాస్ట్అల్లాయ్,కాస్టాల్లో,No
saakshyaalanu,సాక్ష్యాలను,సాక్ష్యాలను,Yes
vahinchina,వహించినా,వహించిన,No
jaataralo,జాతరలో,జాతరలో,Yes
deeshamunaku,దేశమునకు,దీశమునకు,No
dharmshala,ధర్మశాల,ధర్మశాల,Yes
kaladi,కలదీ,కలాడి,No
eaton,ఎటన్,ఈటోన్,No
pettukuntunnaare,పెట్టుకుంటున్నారే,పెట్టుకుంటున్నారే,Yes
whirlpool,వర్లపుల్,విర్ల్పోల్,No
nirdharinchadam,నిర్ధారించడం,నిర్ధరించడం,No
aasrayinchaaru,ఆశ్రయించారు,ఆశ్రయించారు,Yes
anoo,అనో,అనూ,No
sathyamuurthi,సత్యమూర్తి,సత్యమూర్తి,Yes
alwadhi,అల్వాధి,ఆల్వాహీ,No
manro,మన్రో,మన్రో,Yes
tappinchukovadamlonoo,తప్పించుకోవడంలోనూ,తప్పించుకోవడంలోనూ,Yes
atul,అతుల్,అటుల్,No
nirdhaarinchaadu,నిర్ధారించాడు,నిర్ధారించాడు,Yes
jeffersonville,జెఫర్సన్విల్,జెఫర్సెన్్ిిల్,No
tiwari,తివారి,తివారీ,No
dhishaa,దిశా,ధీషా,No
durgavansh,దుర్గవంష్,దుర్గవవంశ్,No
chikkati,చిక్కటి,చిక్కటి,Yes
prozect,ప్రాజెక్ట్,ప్రాజెక్ట్,Yes
ladakh,లడఖ్,లాడఖ్,No
darmapuri,ధర్మపురి,దర్మాపూరి,No
behuria,బెహూరియా,బెహురియా,No
samudramulo,సముద్రములో,సముద్రములో,Yes
olympia,ఒలింపియా,ఒలింపియా,Yes
tanikhilu,తనిఖీలు,తనిఖిలు,No
mantapamu,మంటపము,మంటపము,Yes
caart,కార్ట్,కార్ట్,Yes
oorugallunu,ఓరుగల్లును,ఊరుగల్లును,No
criyalu,క్రియలు,క్రియాలు,No
ivvaalanna,ఇవ్వాలన్న,ఇవ్వాలన్న,Yes
nirnayamtho,నిర్ణయంతో,నిర్ణయంతో,Yes
brahmaanda,బ్రహ్మాండ,బ్రహ్మాండ,Yes
parinamistaaru,పరిణమిస్తారు,పరిణమిస్తారు,Yes
pacifica,పసిఫిక,పాసిఫికా,No
chengalpattu,చెంగల్పట్టు,చెంగల్పత్తు,No
pinni,పిన్ని,పిన్ని,Yes
behar,బెహర్,బెహర్,Yes
buldhana,బుల్ధనా,బుల్ధానా,No
chinnadi,చిన్నది,చిన్నాడి,No
angikarinche,అంగీకరించే,అంగికరించే,No
praananga,ప్రాణంగా,ప్రాణంగ,No
vaivaswatha,వైవస్వత,వైవస్వత,Yes
truptimundu,తృప్తిముందు,తృప్తిముందు,Yes
daallaas,డల్లాస్,డాళ్లాస్,No
whiski,విస్కీ,విష్కి,No
mishato,మిషతో,మిషతో,Yes
